YEAR,annual_additions_MW,cum_MW,scenario,seed
2030,3510.345570666667,3510.345570666667,S3_CHINA_COORDINATED,42
2031,4279.6926,7790.038170666667,S3_CHINA_COORDINATED,42
2032,2199.62569,9989.663860666667,S3_CHINA_COORDINATED,42
2034,14261.87685,24251.540710666668,S3_CHINA_COORDINATED,42
2039,15257.89090401918,39509.43161468585,S3_CHINA_COORDINATED,42
2041,4400.0,43909.43161468585,S3_CHINA_COORDINATED,42
2042,2710.882267363759,46620.31388204961,S3_CHINA_COORDINATED,42
2044,9319.49977,55939.81365204961,S3_CHINA_COORDINATED,42
2049,21843.04056,77782.85421204961,S3_CHINA_COORDINATED,42
2054,9665.50581,87448.36002204962,S3_CHINA_COORDINATED,42
2059,13754.860349999999,101203.22037204962,S3_CHINA_COORDINATED,42
